symbol,timeframe,signal_type,entry_price,tp_target,sl_target,exit_price,exit_reason,timeout_price,pnl_pct,result,timeout_result,hold_bars,mfe,mae,fired_time,achieved_rr,score,confidence
EPT-USDT,15min,LONG,0.0011281269999999998,0.00120407,0.00111334,0.00111334,SL,,-1.3107566789909142,LOSS,,2,1.318379934174087,-5.684377734067154,2026-02-22T11:35:10.547772,5.136106280193222,13,76.9
EPT-USDT,15min,LONG,0.0011381369999999998,0.00120407,0.00112335,0.00112335,SL,,-1.299228476009464,LOSS,,1,-0.09990009990008202,-6.513890682756096,2026-02-22T11:37:46.296247,4.459101449275353,13,76.9
EPT-USDT,15min,LONG,0.0011381369999999998,0.00120407,0.00112335,0.00112335,SL,,-1.299228476009464,LOSS,,1,-0.09990009990008202,-6.513890682756096,2026-02-22T11:38:01.742216,4.459101449275353,13,76.9
EPT-USDT,15min,LONG,0.0011381369999999998,0.00120407,0.00112335,0.00112335,SL,,-1.299228476009464,LOSS,,1,-0.09990009990008202,-6.513890682756096,2026-02-22T11:38:05.251663,4.459101449275353,13,76.9
EPT-USDT,15min,LONG,0.001132131,0.00120407,0.00111735,0.00111735,SL,,-1.3055909607633702,LOSS,,1,0.4300739048749668,-6.017943153221661,2026-02-22T11:40:36.969048,4.865304347826063,13,76.9
EPT-USDT,15min,LONG,0.001132131,0.00120407,0.00111735,0.00111735,SL,,-1.3055909607633702,LOSS,,1,0.4300739048749668,-6.017943153221661,2026-02-22T11:40:48.219859,4.865304347826063,13,76.9
EPT-USDT,15min,LONG,0.001132131,0.00120407,0.00111735,0.00111735,SL,,-1.3055909607633702,LOSS,,1,0.4300739048749668,-6.017943153221661,2026-02-22T11:40:52.413755,4.865304347826063,13,76.9
EPT-USDT,15min,LONG,0.0011281269999999998,0.00120407,0.00111334,0.00111334,SL,,-1.3107566789909142,LOSS,,1,0.7865249213962765,-5.684377734067154,2026-02-22T11:43:17.245695,5.136106280193222,13,76.9
EPT-USDT,15min,LONG,0.001127126,0.00120407,0.00111234,0.00111234,SL,,-1.3118320400735963,LOSS,,1,0.8760333804738772,-5.600616080189787,2026-02-22T11:43:26.972700,5.203806763284997,13,76.9
EPT-USDT,15min,LONG,0.0011261249999999997,0.00120407,0.00111134,0.00111134,SL,,-1.3129093129092952,LOSS,,1,0.9657009657009882,-5.51670551670549,2026-02-22T11:43:29.296197,5.271507246376802,13,76.9
EPT-USDT,15min,LONG,0.0011451439999999998,0.00120407,0.00113036,0.00113036,SL,,-1.291016675632051,LOSS,,1,-0.7111769349531466,-7.08592107193504,2026-02-22T11:46:02.414230,3.9851980676328393,13,76.9
EPT-USDT,15min,LONG,0.0011451439999999998,0.00120407,0.00113036,0.00113036,SL,,-1.291016675632051,LOSS,,1,-0.7111769349531466,-7.08592107193504,2026-02-22T11:46:05.696895,3.9851980676328393,13,76.9
EPT-USDT,15min,LONG,0.0011451439999999998,0.00120407,0.00113036,0.00113036,SL,,-1.291016675632051,LOSS,,1,-0.7111769349531466,-7.08592107193504,2026-02-22T11:46:11.481853,3.9851980676328393,13,76.9
EPT-USDT,15min,LONG,0.001130129,0.00120407,0.00111534,0.00111534,SL,,-1.3086116717648926,LOSS,,1,0.6079836903574806,-5.851455895742862,2026-02-22T11:48:40.769645,5.000705314009642,13,76.9
EPT-USDT,15min,LONG,0.001130129,0.00120407,0.00111534,0.00111534,SL,,-1.3086116717648926,LOSS,,1,0.6079836903574806,-5.851455895742862,2026-02-22T11:48:41.725175,5.000705314009642,13,76.9
EPT-USDT,15min,LONG,0.001130129,0.00120407,0.00111534,0.00111534,SL,,-1.3086116717648926,LOSS,,1,0.6079836903574806,-5.851455895742862,2026-02-22T11:48:50.182080,5.000705314009642,13,76.9
EPT-USDT,15min,LONG,0.0011261249999999997,0.00120407,0.00111134,0.00111134,SL,,-1.3129093129092952,LOSS,,1,0.9657009657009882,-5.51670551670549,2026-02-22T11:51:19.739542,5.271507246376802,13,76.9
EPT-USDT,15min,LONG,0.001137136,0.00120407,0.00112235,0.00112235,SL,,-1.3002842228194273,LOSS,,1,-0.011959871114798314,-6.431596572441635,2026-02-22T11:51:27.282158,4.526801932367128,13,76.9
EPT-USDT,15min,LONG,0.001137136,0.00120407,0.00112235,0.00112235,SL,,-1.3002842228194273,LOSS,,1,-0.011959871114798314,-6.431596572441635,2026-02-22T11:51:32.142621,4.526801932367128,13,76.9
EPT-USDT,15min,LONG,0.0011241229999999999,0.00120407,0.00110934,0.00110934,SL,,-1.3150696142681881,LOSS,,1,1.1455152149720373,-9.44051496144104,2026-02-22T11:53:55.747887,5.406908212560367,13,76.9
EPT-USDT,15min,LONG,0.0011241229999999999,0.00120407,0.00110934,0.00110934,SL,,-1.3150696142681881,LOSS,,1,1.1455152149720373,-9.44051496144104,2026-02-22T11:54:02.562640,5.406908212560367,13,76.9
EPT-USDT,15min,LONG,0.0011241229999999999,0.00120407,0.00110934,0.00110934,SL,,-1.3150696142681881,LOSS,,1,1.1455152149720373,-9.44051496144104,2026-02-22T11:54:14.069459,5.406908212560367,13,76.9
EPT-USDT,15min,LONG,0.0011241229999999999,0.00120407,0.00110934,0.00110934,SL,,-1.3150696142681881,LOSS,,1,1.1455152149720373,-9.44051496144104,2026-02-22T11:56:38.160598,5.406908212560367,13,76.9
EPT-USDT,15min,LONG,0.0011241229999999999,0.00120407,0.00110934,0.00110934,SL,,-1.3150696142681881,LOSS,,1,1.1455152149720373,-9.44051496144104,2026-02-22T11:56:42.718249,5.406908212560367,13,76.9
EPT-USDT,15min,LONG,0.0011241229999999999,0.00120407,0.00110934,0.00110934,SL,,-1.3150696142681881,LOSS,,1,1.1455152149720373,-9.44051496144104,2026-02-22T11:56:51.636576,5.406908212560367,13,76.9
