[2026-03-06 20:09:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:10:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:10:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:11:19 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:11:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:11:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:12:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:12:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:13:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:13:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:14:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:15:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:15:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:16:36 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:16:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:16:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:17:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:17:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:18:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:18:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:19:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:19:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:20:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:20:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:21:52 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:21:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:21:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:22:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:23:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:23:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:24:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:24:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:25:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:25:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:26:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:27:08 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:27:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:27:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:28:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:28:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:29:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:29:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:32:35 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
